,P(mm),Tavg(C),Tmax(C),Tmin(C)
3/22/1964,0,-3.26,3.016666667,-8.453333333
3/23/1964,0,1.626666667,6.706666667,-3.42
3/24/1964,0,3.006666667,7.086666667,-0.666666667
3/25/1964,0,2.6,6.67,-0.753333333
3/26/1964,8.633333333,0,2.863333333,-2.606666667
3/27/1964,21.33333333,-3.81,-1.69,-4.976666667
3/28/1964,0,-3.133333333,2.273333333,-7.76
3/29/1964,0,0.23,5.03,-4.663333333
3/30/1964,0,2.503333333,5.88,-0.793333333
3/31/1964,1.8,-1.456666667,0.94,-2.906666667
4/1/1964,0,-0.853333333,4.596666667,-6.363333333
4/2/1964,2.766666667,-0.34,2.32,-2.69
4/3/1964,0,-1.163333333,2.84,-4.166666667
4/4/1964,0,2.41,7.453333333,-3.73
4/5/1964,0,5.73,12.08666667,-1.326666667
4/6/1964,28.33333333,-2.676666667,2.24,-3.823333333
4/7/1964,2.833333333,-3.223333333,1.253333333,-6.043333333
4/8/1964,3.333333333,-3.366666667,-0.346666667,-5.566666667
4/9/1964,3.466666667,-6.033333333,-3.733333333,-7.343333333
4/10/1964,0,-6.456666667,-4.406666667,-7.956666667
4/11/1964,3.666666667,-7.56,-4.573333333,-8.86
4/12/1964,3.8,-7.653333333,-3.913333333,-10.56666667
4/13/1964,0.4,-7.003333333,-2.046666667,-10.57666667
4/14/1964,1.6,-6.456666667,-2.55,-9.993333333
4/15/1964,0,-5.046666667,-0.84,-9.043333333
4/16/1964,0,-4.08,0.696666667,-7.776666667
4/17/1964,0,-3.47,1.643333333,-6.203333333
4/18/1964,2.433333333,-4.423333333,-0.983333333,-6.286666667
4/19/1964,4.2,-6.7,-4.206666667,-8.63
4/20/1964,2.4,-6.896666667,-2.283333333,-10.06
4/21/1964,0.233333333,-5.16,-1.263333333,-8.796666667
4/22/1964,0,-3.016666667,1.156666667,-6.05
4/23/1964,0,-0.146666667,5.913333333,-5.853333333
4/24/1964,0,2.906666667,8.74,-1.95
4/25/1964,0,3.563333333,9.053333333,-1.23
4/26/1964,0,5.413333333,10.55666667,-0.16
4/27/1964,0,7.323333333,11.45,1.97
4/28/1964,13.06666667,2.796666667,8.253333333,-1.6
4/29/1964,21.1,-2.606666667,-0.416666667,-4.17
4/30/1964,2.133333333,-3.883333333,-0.146666667,-5.986666667
5/1/1964,0.6,-3.723333333,0.103333333,-6.37
5/2/1964,0,-1.303333333,4.52,-7.383333333
5/3/1964,9.233333333,-0.973333333,2.143333333,-3.706666667
5/4/1964,8.666666667,-3.826666667,-1.133333333,-5.69
5/5/1964,0,-2.563333333,2.056666667,-6.97
5/6/1964,0,3.853333333,8.066666667,-2.06
5/7/1964,2.166666667,4.65,7.74,1.226666667
5/8/1964,0.033333333,5.6,9.463333333,1.313333333
5/9/1964,4.466666667,5.276666667,10.36,0.783333333
5/10/1964,3.733333333,4.563333333,8.163333333,1.426666667
5/11/1964,38.63333333,1.02,5.023333333,-1.573333333
5/12/1964,1.566666667,0.79,2.47,-1.59
5/13/1964,0.466666667,1.866666667,5.68,-2.06
5/14/1964,0,2.906666667,7.053333333,-1.493333333
5/15/1964,1.033333333,2.196666667,5.813333333,-0.75
5/16/1964,0,4.753333333,9.076666667,-1.35
5/17/1964,10.2,2.203333333,5.263333333,0.613333333
5/18/1964,15.03333333,1.7,4.37,-0.676666667
5/19/1964,0,3.543333333,8.496666667,-0.796666667
5/20/1964,6.8,3.2,5.753333333,0.246666667
5/21/1964,9,1.17,3.136666667,-0.96
5/22/1964,0.133333333,3.653333333,8.686666667,-1.436666667
5/23/1964,0,5.763333333,10.79333333,0.876666667
5/24/1964,2.666666667,5.553333333,9.573333333,2.203333333
5/25/1964,7.033333333,5.193333333,7.566666667,2.573333333
5/26/1964,27.46666667,2.786666667,4.633333333,0.706666667
5/27/1964,0,3.64,8.32,-1.376666667
5/28/1964,4.6,4.763333333,8.38,0.473333333
5/29/1964,0,7.026666667,10.22666667,2.986666667
5/30/1964,0,8.056666667,12.31666667,3.65
5/31/1964,1.066666667,9.586666667,14.05,4.67
6/1/1964,0,11.37333333,15.90333333,5.936666667
6/2/1964,2,11.66,16.55666667,6.54
6/3/1964,0,10.84333333,15.87,6.09
6/4/1964,6.933333333,10.06,14.78666667,4.893333333
6/5/1964,9.466666667,7.57,12.12666667,5.51
6/6/1964,18.96666667,6.326666667,10.28,3.763333333
6/7/1964,9.6,6.586666667,10.98666667,3.246666667
6/8/1964,1.666666667,10.29,15.67333333,4.136666667
6/9/1964,0,9.976666667,14.82,4.466666667
6/10/1964,0.3,9.71,14.39666667,4.763333333
6/11/1964,6.466666667,7.92,13.15333333,3.663333333
6/12/1964,1.633333333,7.953333333,13.06666667,4.34
6/13/1964,0,8.613333333,14.07,4.023333333
6/14/1964,3.366666667,8.5,15.16,4.296666667
6/15/1964,6.533333333,8.373333333,12.89666667,4.033333333
6/16/1964,0,7.066666667,12.09666667,3.4
6/17/1964,0,8.05,14.25,2.123333333
6/18/1964,0,8.97,14.56666667,3.17
6/19/1964,1.866666667,9.046666667,15.31,4.146666667
6/20/1964,3.8,9.073333333,15.74,4.496666667
6/21/1964,2.233333333,6.756666667,11.6,3.4
6/22/1964,0,5.843333333,11.94666667,0.206666667
6/23/1964,0,8.016666667,13.88,2.736666667
6/24/1964,0,8.996666667,15.12333333,3.686666667
6/25/1964,5.466666667,7.383333333,11.77666667,4.17
6/26/1964,3.9,6.013333333,11.56333333,1.896666667
6/27/1964,4.433333333,5.576666667,10.36,1.946666667
6/28/1964,8.666666667,5.083333333,7.83,2.836666667
6/29/1964,5.066666667,5.546666667,10.11,2.7
6/30/1964,0.566666667,7.08,13.56,1.773333333
7/1/1964,0,8.243333333,14.47,4.7
7/2/1964,5.3,8.773333333,14.64333333,4.596666667
7/3/1964,6.6,9.603333333,15.04,5.383333333
7/4/1964,2.566666667,10.43666667,15.67333333,4.51
7/5/1964,4.4,6.703333333,11.78,2.756666667
7/6/1964,0,7.816666667,14.73,2.733333333
7/7/1964,0,9.803333333,14.69666667,4.643333333
7/8/1964,22.33333333,6.346666667,10.13,4.283333333
7/9/1964,11.23333333,3.783333333,7.48,1.653333333
7/10/1964,7,3.64,7.73,1.533333333
7/11/1964,16.36666667,4.793333333,11.91,1.99
7/12/1964,0,7.543333333,13.73333333,0.83
7/13/1964,0,10.86666667,17.33333333,3.703333333
7/14/1964,0,12.14,18.04333333,6.48
7/15/1964,0,11.95333333,17.17333333,8.086666667
7/16/1964,0,12.32333333,17.86666667,8.11
7/17/1964,0,12.28333333,16.32,8.96
7/18/1964,1.8,11.08666667,14.85666667,7.79
7/19/1964,4.133333333,9.306666667,12.45333333,7.23
7/20/1964,3.566666667,7.806666667,11.51666667,5.673333333
7/21/1964,0,7.54,13.81333333,3.123333333
7/22/1964,0,9.536666667,16.23333333,4.206666667
7/23/1964,0,11.79666667,19.07,5.49
7/24/1964,0,11.78666667,18.10666667,6.186666667
7/25/1964,0,10.68666667,15.47,7
7/26/1964,0,9.05,15.59333333,6.283333333
7/27/1964,0,9.97,15.72666667,5.526666667
7/28/1964,0,10.34,16.9,6.533333333
7/29/1964,3.933333333,7.363333333,13.54333333,6.026666667
7/30/1964,2.4,6.803333333,10.58666667,4.296666667
7/31/1964,4.466666667,7.626666667,11.78,4.903333333
8/1/1964,5.3,7.243333333,9.906666667,4.526666667
8/2/1964,15.13333333,6.193333333,9.49,3.466666667
8/3/1964,0,8.433333333,14.39333333,2.533333333
8/4/1964,0,10.84,16.09333333,5.383333333
8/5/1964,36,6.05,10.59333333,2.946666667
8/6/1964,0,4.703333333,10.96666667,-0.36
8/7/1964,0,6.32,12.43333333,1.12
8/8/1964,0,9.173333333,14.47,2.86
8/9/1964,0,8.61,14.62,3.186666667
8/10/1964,0,8.896666667,14.76333333,4.096666667
8/11/1964,0,11.95333333,17.82,4.923333333
8/12/1964,0,12.08333333,17.86333333,7.816666667
8/13/1964,30.73333333,8.986666667,12.11,6.473333333
8/14/1964,2.133333333,7.393333333,13.72,3.04
8/15/1964,0,9.513333333,14.43333333,4.356666667
8/16/1964,0,9.77,13.99333333,6.786666667
8/17/1964,0,6.456666667,12.08,2.916666667
8/18/1964,3.566666667,5.616666667,10.67333333,2.603333333
8/19/1964,6.333333333,5.153333333,9.733333333,2.996666667
8/20/1964,0,5.89,12.58333333,0.473333333
8/21/1964,0,9.113333333,16.24333333,3.193333333
8/22/1964,18.96666667,6.806666667,10.69333333,3.53
8/23/1964,2.166666667,5.873333333,9.93,3.203333333
8/24/1964,0,7.006666667,12.69666667,2.48
8/25/1964,0.8,6.956666667,12.88333333,3.24
8/26/1964,28.36666667,4.163333333,7.166666667,1.32
8/27/1964,14.2,4.476666667,8.313333333,2.436666667
8/28/1964,2.966666667,4.03,7.4,2.736666667
8/29/1964,0,4.736666667,11.93,-1.043333333
8/30/1964,0,6.283333333,11.47333333,2.836666667
8/31/1964,5.233333333,7.25,11.82666667,4.95
9/1/1964,17.06666667,6.916666667,11.60333333,4.086666667
9/2/1964,0,7.79,12.98333333,3.893333333
9/3/1964,3.066666667,7.233333333,12.15666667,5.55
9/4/1964,3.666666667,6.976666667,11.06333333,5.043333333
9/5/1964,11.7,5,7.926666667,4.003333333
9/6/1964,8.8,4.036666667,7.113333333,1.59
9/7/1964,15.5,4.6,8.266666667,2.28
9/8/1964,0,6.833333333,14.71333333,1.543333333
9/9/1964,0,9.26,14.39,4.926666667
9/10/1964,0,8.073333333,14.52333333,3.263333333
9/11/1964,44.66666667,4.593333333,8.78,2.61
9/12/1964,3.533333333,3.416666667,10.29333333,-0.796666667
9/13/1964,0,5.43,11.61666667,0.373333333
9/14/1964,6.1,5.03,8.613333333,3.026666667
9/15/1964,2.266666667,3.093333333,7.11,1.043333333
9/16/1964,0,3.98,10.86666667,-1.383333333
9/17/1964,0,6.983333333,13.58666667,2.24
9/18/1964,0,7.46,13.61666667,2.33
9/19/1964,0,8.053333333,12.29333333,3.806666667
9/20/1964,0,7.343333333,12.70333333,4.036666667
9/21/1964,16.83333333,4.103333333,9.093333333,0.463333333
9/22/1964,0,7.646666667,15.01333333,0.57
9/23/1964,0,12.93333333,19.17666667,5.343333333
9/24/1964,0,11.40333333,16.67,5.496666667
9/25/1964,0,7.616666667,14.13,3.583333333
9/26/1964,0,6.496666667,12.12666667,4.41
9/27/1964,0,4.733333333,10.23666667,0.98
9/28/1964,0,4.406666667,12.86666667,-0.156666667
9/29/1964,33.13333333,5.113333333,10.44,1.086666667
9/30/1964,5.766666667,3.08,6.88,0.73
10/1/1964,0,3.593333333,8.136666667,0.29
10/2/1964,29.56666667,-0.33,3.756666667,-4.39
10/3/1964,4.7,-4.75,1.276666667,-9.646666667
10/4/1964,11.8,-2.396666667,2.216666667,-5.446666667
10/5/1964,15.26666667,-7.32,-3.856666667,-8.303333333
10/6/1964,1.966666667,-6.063333333,1.883333333,-11.83333333
10/7/1964,0,0.063333333,8.52,-4.916666667
10/8/1964,0,3.69,9.27,-1.266666667
10/9/1964,0,7.11,12.52333333,2.62
10/10/1964,0,6.606666667,12.00666667,2.67
10/11/1964,2.666666667,2.49,8.016666667,-0.03
10/12/1964,0,4.146666667,11.49666667,-0.926666667
10/13/1964,0,6.586666667,13.68666667,2.013333333
10/14/1964,0,8.573333333,14.36333333,3.143333333
10/15/1964,0,10.13,16.23333333,5.476666667
10/16/1964,0,7.62,12.91,4.07
10/17/1964,0,5.86,11.55,1.683333333
10/18/1964,0,6.756666667,12.79666667,2.553333333
10/19/1964,0,6.416666667,11.27333333,2.75
10/20/1964,0,5.716666667,12.20333333,1.453333333
10/21/1964,0,5.69,11.73333333,1.103333333
10/22/1964,0,5.13,11.81,1.49
10/23/1964,0,6.503333333,10.92666667,0.536666667
10/24/1964,0,4.82,10.57666667,1.576666667
10/25/1964,0,4.173333333,10.70666667,0.816666667
10/26/1964,0,3.5,10.92,-0.776666667
10/27/1964,0,0.973333333,6.29,-2.116666667
10/28/1964,0,-2.176666667,3.56,-6.5
10/29/1964,0,-3.446666667,1.4,-6.2
10/30/1964,0,-2.513333333,3.9,-5.993333333
10/31/1964,0,-1.566666667,4.57,-5.14
11/1/1964,0,-0.986666667,4.153333333,-4.85
11/2/1964,0,-1.19,2.74,-4.74
11/3/1964,0,-3.56,0.246666667,-6.4
11/4/1964,0,-3.5,2.223333333,-7.123333333
11/5/1964,0,-0.31,2.72,-4.863333333
11/6/1964,10.36666667,-2.276666667,2.86,-3.526666667
11/7/1964,39.76666667,-2.23,-0.72,-4.106666667
11/8/1964,5.933333333,-4.226666667,-2.943333333,-5.84
11/9/1964,0,-7.816666667,-4.99,-9.43
11/10/1964,0,-7.596666667,-3.916666667,-12.86333333
11/11/1964,0,-2.693333333,2.35,-7.83
11/12/1964,0,1.283333333,3.63,-1.85
11/13/1964,0,3.17,6.25,0.25
11/14/1964,0,3.87,7.1,0.603333333
11/15/1964,0,3.19,5.943333333,-0.046666667
11/16/1964,0,3.773333333,8.103333333,0.506666667
11/17/1964,0,5.233333333,7.703333333,1.503333333
11/18/1964,32.5,0.643333333,5.36,-2.17
11/19/1964,9.533333333,-1.7,-0.013333333,-4.23
11/20/1964,0,0.976666667,4.333333333,-1.656666667
11/21/1964,20.83333333,-3.486666667,1.933333333,-5.843333333
11/22/1964,12.46666667,-6.74,-5.91,-7.103333333
11/23/1964,0.566666667,-7.03,-4.6,-10.48666667
11/24/1964,4.9,-7.71,-6.226666667,-9.42
11/25/1964,0,-8.466666667,-6.023333333,-10.64
11/26/1964,28.13333333,-9.803333333,-7.206666667,-10.94333333
11/27/1964,10.93333333,-13.13333333,-11.13,-15.13666667
11/28/1964,2.3,-13.68333333,-9.57,-19.4
11/29/1964,0,-5.593333333,-2.103333333,-12.56666667
11/30/1964,0,-2.963333333,-0.873333333,-5.45
12/1/1964,0,-2.53,1.596666667,-5.993333333
12/2/1964,0,0.226666667,2.883333333,-4.666666667
12/3/1964,2.366666667,-0.776666667,2.36,-3.366666667
12/4/1964,0,-1.51,3.903333333,-5.183333333
12/5/1964,0,1.66,6.306666667,-2.926666667
12/6/1964,0,-0.07,3.22,-2.936666667
12/7/1964,0,-2.533333333,0.6,-5.383333333
12/8/1964,0,-1.873333333,2.076666667,-5.623333333
12/9/1964,0,-1.79,1.916666667,-5.606666667
12/10/1964,0,-2.316666667,0.99,-4.653333333
12/11/1964,0,-2.156666667,1.913333333,-5.976666667
12/12/1964,0,-6.086666667,-2.01,-7.493333333
12/13/1964,0,-7.383333333,-3.306666667,-9.176666667
12/14/1964,0,-8.006666667,-5.446666667,-9.806666667
12/15/1964,0,-8.686666667,-6.223333333,-10.42333333
12/16/1964,0,-9.57,-5.073333333,-12.45
12/17/1964,0,-10.64,-6.816666667,-12.66
12/18/1964,0,-10.49333333,-7.006666667,-13.63666667
12/19/1964,0,-7.92,-3.466666667,-12.92333333
12/20/1964,0,-1.92,1.79,-7.48
12/21/1964,8.733333333,-3.876666667,-0.26,-5.11
12/22/1964,2.033333333,-5.92,-3.826666667,-6.916666667
12/23/1964,10.6,-9.763333333,-5.68,-12.24666667
12/24/1964,5.533333333,-15.75333333,-10.58666667,-19.73666667
12/25/1964,0,-15.87666667,-9.86,-22.86
12/26/1964,0,-4.863333333,-0.983333333,-11.98
12/27/1964,0,-1.44,2.613333333,-5.816666667
12/28/1964,0,1.636666667,4.453333333,-1.213333333
12/29/1964,1.9,-1.8,2.25,-4.766666667
12/30/1964,14.63333333,-4.833333333,-2.953333333,-5.536666667
12/31/1964,2.433333333,-6.223333333,-4.083333333,-7.333333333
1/1/1965,1.066666667,-8.493333333,-5.78,-9.84
1/2/1965,0,-6.493333333,-0.75,-12.29333333
1/3/1965,0,-3.363333333,2.276666667,-7.423333333
1/4/1965,0,-4.163333333,1.476666667,-7.136666667
1/5/1965,0,-4.133333333,-0.626666667,-7.29
1/6/1965,11,-8.356666667,-3.596666667,-9.98
1/7/1965,11,-11.82,-9.13,-14.04
1/8/1965,3.933333333,-14.14,-12.16,-15.41
1/9/1965,0,-13.68333333,-8.173333333,-18.75
1/10/1965,0,-10.90666667,-5.886666667,-15.18666667
1/11/1965,0,-11.83333333,-8.233333333,-14.78
1/12/1965,5.266666667,-13.59666667,-11.62333333,-15.76
1/13/1965,2.433333333,-11.25666667,-7.72,-13.12666667
1/14/1965,0,-11.22333333,-7.906666667,-13.75666667
1/15/1965,0,-12.8,-8.576666667,-14.32333333
1/16/1965,0,-12.13666667,-9.22,-14.02666667
1/17/1965,0,-10.86333333,-6.58,-12.95
1/18/1965,0,-6.413333333,-0.686666667,-10.67333333
1/19/1965,0,-4.763333333,-0.563333333,-7.983333333
1/20/1965,0,-6.08,-1.506666667,-8.393333333
1/21/1965,0,-1.966666667,1.29,-6.953333333
1/22/1965,0,-4.476666667,-0.196666667,-7.853333333
1/23/1965,0,-5.54,-0.926666667,-8.15
1/24/1965,0,-6.376666667,-2.226666667,-8.843333333
1/25/1965,0,-5.416666667,-1,-9.243333333
1/26/1965,0,-6.13,-2.213333333,-8.996666667
1/27/1965,0,-7.883333333,-3.38,-10.47333333
1/28/1965,0,-9.233333333,-5.426666667,-11.94
1/29/1965,0,-9.826666667,-6.086666667,-12.06
1/30/1965,0,-9.976666667,-5.63,-12.89
1/31/1965,0,-6.76,-0.353333333,-11.22666667
2/1/1965,0,-2.93,0.53,-7.103333333
2/2/1965,0,-0.79,3.656666667,-4.903333333
2/3/1965,0,-2.573333333,1.133333333,-5.343333333
2/4/1965,0,-3.54,-0.783333333,-5.403333333
2/5/1965,6.433333333,-7.963333333,-4.706666667,-11.62666667
2/6/1965,2.533333333,-13.72,-10.74333333,-15.02666667
2/7/1965,2.133333333,-8.553333333,-4.096666667,-13.63333333
2/8/1965,5.433333333,-10.35333333,-6.853333333,-12.71333333
2/9/1965,18.66666667,-9.85,-7.406666667,-12.96
2/10/1965,0,-13.4,-10.83,-15.35
2/11/1965,7.9,-9.4,-6.276666667,-13.73333333
2/12/1965,37.43333333,-10.56,-4.94,-15.7
2/13/1965,0.3,-12.43666667,-6.79,-18.13333333
2/14/1965,0.5,-11.74666667,-9.143333333,-13.51333333
2/15/1965,0,-12.44333333,-7.77,-16.45666667
2/16/1965,0,-7.226666667,-2.056666667,-14.62666667
2/17/1965,0,-6.333333333,-1.036666667,-10.29333333
2/18/1965,0,-10.48,-2.58,-15.34666667
2/19/1965,4.9,-7.473333333,-3.276666667,-11.00666667
2/20/1965,1.1,-10.65,-5.106666667,-14.93
2/21/1965,0,-8.31,-4.98,-12.75666667
2/22/1965,17.5,-7.016666667,-3.773333333,-9.466666667
2/23/1965,14.16666667,-11.95,-9.466666667,-13.87
2/24/1965,7.666666667,-16,-13.06666667,-17.87666667
2/25/1965,6.133333333,-12.12,-9.32,-14.09333333
2/26/1965,10.53333333,-2.453333333,0.766666667,-8.19
2/27/1965,10.63333333,-10.90666667,-6.75,-12.08333333
2/28/1965,2.666666667,-4.136666667,0.253333333,-11.52333333
3/1/1965,21.86666667,-7.606666667,-1.306666667,-11.92666667
3/2/1965,3.1,-8.366666667,-2.946666667,-12.55666667
3/3/1965,0,-3.26,3.27,-9.653333333
3/4/1965,0,0.78,5.12,-3.693333333
3/5/1965,0,1.333333333,2.816666667,-0.953333333
3/6/1965,0,1.536666667,5.413333333,-1.09
3/7/1965,0,2.36,4.773333333,-1.213333333
3/8/1965,15.7,-2.993333333,2.523333333,-6.913333333
3/9/1965,0,-6.613333333,-3.123333333,-10.60333333
3/10/1965,6.366666667,-6.263333333,-4.693333333,-8.253333333
3/11/1965,13.5,-9.833333333,-5.65,-14.10333333
3/12/1965,1.466666667,-17.31666667,-14.39333333,-19.90666667
3/13/1965,5.133333333,-14.54666667,-11.41333333,-16.64666667
3/14/1965,0,-12.6,-5.953333333,-17.69666667
3/15/1965,0,-9.423333333,-2.673333333,-12.42
3/16/1965,0,-8.256666667,-2.276666667,-11.23333333
3/17/1965,0,-6.496666667,-1.73,-10.58
3/18/1965,0,-5.376666667,0.003333333,-8.996666667
3/19/1965,0,-5.503333333,-0.553333333,-9.22
3/20/1965,0,-3.956666667,0.49,-7.766666667
3/21/1965,0,-2.466666667,2.403333333,-5.923333333
3/22/1965,0,-1.63,3.88,-5.91
3/23/1965,0,-1.313333333,3.26,-4.46
3/24/1965,0,-3.243333333,1.11,-5.676666667
3/25/1965,0,-2.42,1.903333333,-6.293333333
3/26/1965,0,0.373333333,4.833333333,-3.883333333
3/27/1965,0,-0.586666667,4.823333333,-4.79
3/28/1965,0,0.173333333,5.46,-4.226666667
3/29/1965,0,0.22,3.68,-2.953333333
3/30/1965,0,-0.323333333,3.936666667,-3.906666667
3/31/1965,8.633333333,-2.06,0.753333333,-4.36
4/1/1965,13.83333333,-5.98,-4.536666667,-7.393333333
4/2/1965,13.2,-9.28,-6.73,-11.12
4/3/1965,6.466666667,-11.30333333,-9.01,-13.25666667
4/4/1965,6.133333333,-15.2,-12.46,-16.68333333
4/5/1965,8.366666667,-16.14666667,-13.09666667,-19.26333333
4/6/1965,0,-13.08666667,-8.43,-15.39666667
4/7/1965,0,-11.48666667,-6.97,-14.97333333
4/8/1965,0,-9.63,-4.656666667,-14.77666667
4/9/1965,0,-4.56,-0.436666667,-9.726666667
4/10/1965,0,0.68,4.87,-5.873333333
4/11/1965,8.666666667,0.5,2.776666667,-1.163333333
4/12/1965,6.666666667,-0.976666667,2.843333333,-5.036666667
4/13/1965,18.1,-5.023333333,-3.286666667,-7.066666667
4/14/1965,2.4,-4.83,-1,-8.923333333
4/15/1965,0.133333333,-3.426666667,0.75,-8.363333333
4/16/1965,0,-3.03,0.796666667,-6.543333333
4/17/1965,2.833333333,-0.153333333,2.746666667,-4.33
4/18/1965,13.4,-0.183333333,3.726666667,-3.943333333
4/19/1965,11.73333333,-1.806666667,1.533333333,-3.943333333
4/20/1965,0,-2.476666667,1.853333333,-6.55
4/21/1965,0,-2.386666667,2.346666667,-5.296666667
4/22/1965,0,-1.093333333,3.8,-5.493333333
4/23/1965,2.866666667,2.523333333,5.243333333,-0.996666667
4/24/1965,4.933333333,4.733333333,9.596666667,-0.37
4/25/1965,8.9,3.546666667,7.746666667,2.03
4/26/1965,20.8,2.946666667,7.693333333,-1.756666667
4/27/1965,0,5.84,9.163333333,1.283333333
4/28/1965,27.43333333,2.836666667,8.736666667,-1.186666667
4/29/1965,1.9,1.53,3.663333333,-1.703333333
4/30/1965,0,3.196666667,7.94,-2.926666667
5/1/1965,6.1,1.216666667,4.723333333,-2.14
5/2/1965,8.966666667,-3.516666667,-1.883333333,-4.94
5/3/1965,11.73333333,-4.69,-2.58,-6.323333333
5/4/1965,5.4,-2.553333333,0.956666667,-6.623333333
5/5/1965,24.5,-3.123333333,0.166666667,-4.95
5/6/1965,0.333333333,0.896666667,5.153333333,-5.223333333
5/7/1965,0,3.386666667,8.373333333,-1.763333333
5/8/1965,6.233333333,4.466666667,7.736666667,0.296666667
5/9/1965,5.133333333,2.36,5.19,-0.7
5/10/1965,3.366666667,1.37,4.463333333,-0.94
5/11/1965,1.566666667,1.416666667,5.37,-1.393333333
5/12/1965,1.7,1.796666667,6.96,-1.886666667
5/13/1965,0,4.283333333,8.22,-0.25
5/14/1965,0,7.706666667,11.46,2.44
5/15/1965,14.4,6.113333333,11.47333333,0.876666667
5/16/1965,33.76666667,-0.106666667,2.95,-2.273333333
5/17/1965,0,0.736666667,5.823333333,-3.613333333
5/18/1965,0,1.713333333,5.556666667,-1.916666667
5/19/1965,0,4.026666667,9.663333333,-1.456666667
5/20/1965,0,7.476666667,12.39,2.566666667
5/21/1965,0,8.2,11.34333333,5.606666667
5/22/1965,0,7.32,11.45,2.196666667
5/23/1965,0,7.483333333,12.32,2.76
5/24/1965,0,4.986666667,8.713333333,1.53
5/25/1965,0,4.55,9.86,-0.066666667
5/26/1965,0,7.733333333,12.79666667,3.473333333
5/27/1965,2.933333333,5.323333333,9.81,2.706666667
5/28/1965,0,5.93,11.46,0.296666667
5/29/1965,0,8.39,13.07333333,3.88
5/30/1965,0,8.69,13.71,3.976666667
5/31/1965,6.166666667,8.033333333,12.45666667,4.546666667
6/1/1965,0.066666667,7.776666667,14.08,2.06
6/2/1965,0,9.776666667,15.84333333,4.093333333
6/3/1965,0.233333333,11.02333333,16.55,7.493333333
6/4/1965,0.4,8.233333333,13.61,5.38
6/5/1965,0,8.96,14.47666667,3.323333333
6/6/1965,0,11.84333333,15.84666667,5.383333333
6/7/1965,3.366666667,10.37333333,15.14,6.79
6/8/1965,0,8.196666667,11.89,4.24
6/9/1965,3.4,6.46,10.14333333,4.053333333
6/10/1965,0,6.836666667,11.82,1.586666667
6/11/1965,0,9.936666667,15.23,2.53
6/12/1965,0,10.84,16.71666667,4.853333333
6/13/1965,14.73333333,8.663333333,11.87333333,3.536666667
6/14/1965,1.866666667,6.666666667,10.83666667,3.643333333
6/15/1965,45.03333333,3.58,6.966666667,2.153333333
6/16/1965,0.466666667,5.223333333,10.03,2.123333333
6/17/1965,5.033333333,3.846666667,7.746666667,1.21
6/18/1965,13.4,4.233333333,7.083333333,0.946666667
6/19/1965,5.833333333,4.173333333,7.943333333,0.64
6/20/1965,0,5.693333333,10.46666667,0.763333333
6/21/1965,2.1,6.17,11.96,3.013333333
6/22/1965,4.433333333,5.936666667,10.84666667,2.316666667
6/23/1965,3.933333333,6.08,10.76333333,2.023333333
6/24/1965,4.8,4.716666667,7.01,2.87
6/25/1965,0,6.496666667,11.44333333,2.43
6/26/1965,7.333333333,5.386666667,9.826666667,3.17
6/27/1965,12.9,4.12,7.84,1.306666667
6/28/1965,3.066666667,4.153333333,7.753333333,1.433333333
6/29/1965,0,6.68,12.03,2.65
6/30/1965,0,8.61,13.59,3.116666667
7/1/1965,0.433333333,8.81,15.34666667,4.236666667
7/2/1965,0,9.79,15.45,4.97
7/3/1965,6.2,8.2,13.14,3.686666667
7/4/1965,2.3,8.213333333,13.63666667,4.53
7/5/1965,1.366666667,8.246666667,13.69666667,3.453333333
7/6/1965,0,10.85333333,15.93666667,4.646666667
7/7/1965,6.1,10.56666667,14.23666667,6.95
7/8/1965,1.733333333,8.296666667,13.16,5.366666667
7/9/1965,0,8.406666667,13.79333333,4.106666667
7/10/1965,1.4,8.81,13.97333333,5.836666667
7/11/1965,1.666666667,6.88,12.36666667,3.23
7/12/1965,0,7.386666667,12.68666667,3.29
7/13/1965,2.933333333,10.02666667,16.66666667,4.293333333
7/14/1965,2.1,10.87666667,14.94,8.016666667
7/15/1965,0,12.02333333,17.93,6.92
7/16/1965,0,13.50333333,19.12,10.05333333
7/17/1965,1.566666667,12.27333333,16.09,9.636666667
7/18/1965,0.333333333,10.36333333,14.28,8.426666667
7/19/1965,0,10.42,16.57,5.353333333
7/20/1965,4.733333333,9.33,11.24666667,6.88
7/21/1965,2.9,5.503333333,8.553333333,2.716666667
7/22/1965,0,6.296666667,11.96666667,1.47
7/23/1965,0.033333333,8.233333333,12.88333333,4.313333333
7/24/1965,0,10.24,15.30666667,5.496666667
7/25/1965,0,11.39333333,16.99,7.4
7/26/1965,0.266666667,10.37333333,16.37333333,7.016666667
7/27/1965,0,10.31333333,16.76333333,6.16
7/28/1965,11.93333333,10.69666667,16.03,7.256666667
7/29/1965,29.36666667,7.49,9.826666667,5.59
7/30/1965,2.266666667,7.886666667,14.65,3.59
7/31/1965,0,12.16,19.35,5.683333333
8/1/1965,0,12.57333333,18.59,8.086666667
8/2/1965,0,11.47,17.3,8.546666667
8/3/1965,0.066666667,13.33,19.27333333,7.88
8/4/1965,0,13.15333333,18.19666667,8.873333333
8/5/1965,4.166666667,9.653333333,12.06,6.35
8/6/1965,6,6.866666667,8.796666667,5.526666667
8/7/1965,0.933333333,6.333333333,11.27,4.263333333
