,P(mm),Tavg(C),Tmax(C),Tmin(C)
4/20/1950,0,5.853333333,10.78333333,-0.006666667
4/21/1950,0,4.886666667,10.52333333,-1.263333333
4/22/1950,0,5.56,12.07,-1.6
4/23/1950,0,4.746666667,12.56333333,-2.45
4/24/1950,0,6.483333333,12.51,0.803333333
4/25/1950,0,8.196666667,15.13666667,-0.536666667
4/26/1950,0,10.59333333,16.92666667,3.99
4/27/1950,0,8.64,14.71,2.316666667
4/28/1950,0,6.946666667,11.12333333,2.403333333
4/29/1950,0,6.106666667,12.80666667,0.466666667
4/30/1950,0,5.37,10.70666667,0.583333333
5/1/1950,0,6.1,11.11333333,2.606666667
5/2/1950,0,5.266666667,9.4,2.623333333
5/3/1950,0,5.106666667,10.78333333,1.683333333
5/4/1950,0,7.543333333,15.02333333,1.816666667
5/5/1950,0,8.49,12.94,4.043333333
5/6/1950,0,8.083333333,13.90666667,4.126666667
5/7/1950,1.5,3.523333333,6.526666667,2.493333333
5/8/1950,10.56666667,2.163333333,4.64,0.846666667
5/9/1950,13.9,0.296666667,3.636666667,-2.17
5/10/1950,1.066666667,-0.73,3.423333333,-3.686666667
5/11/1950,0,-0.696666667,1.933333333,-4.106666667
5/12/1950,3.166666667,0.343333333,2.433333333,-3.996666667
5/13/1950,1.866666667,2.176666667,5.886666667,-1.253333333
5/14/1950,0.366666667,3.276666667,5.126666667,-0.52
5/15/1950,10.16666667,1.363333333,4.69,-1.253333333
5/16/1950,3.5,0.933333333,4.393333333,-1.263333333
5/17/1950,0,1.61,5.916666667,-1.606666667
5/18/1950,0,6.136666667,12.30666667,-1.823333333
5/19/1950,0,10.14666667,15.00666667,5.556666667
5/20/1950,7.266666667,6.363333333,8.72,3.066666667
5/21/1950,0,7.91,14.18,1.876666667
5/22/1950,1.833333333,8.223333333,13.12333333,4.506666667
5/23/1950,6.2,6.316666667,7.646666667,3.41
5/24/1950,8.266666667,2.87,6.853333333,1.243333333
5/25/1950,3.533333333,4.476666667,8.536666667,0.696666667
5/26/1950,1.333333333,5.176666667,11.13666667,0.406666667
5/27/1950,0,5.59,9.28,1.323333333
5/28/1950,0,9.39,17.01,0.286666667
5/29/1950,0,10.96333333,18.06333333,4.313333333
5/30/1950,0,11.60333333,16.98666667,5.526666667
5/31/1950,0.2,7.846666667,13.83333333,5.48
6/1/1950,5.233333333,4.39,7.263333333,3.17
6/2/1950,8.733333333,4.116666667,6.383333333,2.783333333
6/3/1950,1.333333333,2.886666667,6.9,1.343333333
6/4/1950,13.43333333,-0.236666667,2.853333333,-0.81
6/5/1950,2.266666667,0.64,5.93,-2.083333333
6/6/1950,4.266666667,1.053333333,5.34,-2.256666667
6/7/1950,0,2.523333333,6.89,-3.13
6/8/1950,0.133333333,3.336666667,10.46666667,-3.43
6/9/1950,0,6.186666667,13.27666667,-1.503333333
6/10/1950,4.333333333,5.776666667,8.793333333,1.73
6/11/1950,0,5.03,10.93,-0.24
6/12/1950,0.366666667,3.123333333,8.78,-0.846666667
6/13/1950,2.466666667,2.706666667,7.126666667,-0.456666667
6/14/1950,0,2.546666667,8.21,-2.95
6/15/1950,0,6.096666667,14.52333333,-2.52
6/16/1950,0,8.73,16.55333333,0.296666667
6/17/1950,1.033333333,4.34,9.083333333,1.106666667
6/18/1950,0,5.77,11.28333333,-0.86
6/19/1950,0,8.913333333,14.88,1.363333333
6/20/1950,0,10.85333333,16.81,5.003333333
6/21/1950,2.033333333,11.29666667,16.22333333,5.736666667
6/22/1950,3.4,8.783333333,13.27,5.503333333
6/23/1950,12.33333333,5.393333333,8.82,3.346666667
6/24/1950,0,7.45,12.8,2.23
6/25/1950,1.333333333,6.423333333,12.52333333,2.256666667
6/26/1950,0,6.813333333,11.89666667,2
6/27/1950,1.3,7.64,12.88333333,3.99
6/28/1950,3.933333333,8.986666667,12.13333333,4.606666667
6/29/1950,0,9.183333333,13.78333333,4.66
6/30/1950,3.266666667,8.963333333,13.14333333,5.87
7/1/1950,6.166666667,6.786666667,11.41333333,3.12
7/2/1950,2.266666667,7.836666667,11.98666667,3.283333333
7/3/1950,0,10.25333333,15.37,3.65
7/4/1950,0,9.32,12.76,6.493333333
7/5/1950,0.966666667,8.173333333,12.85666667,3.493333333
7/6/1950,0.066666667,8.456666667,13.53666667,4.5
7/7/1950,0,9.723333333,14.36333333,3.763333333
7/8/1950,0,10.72333333,16.14666667,3.536666667
7/9/1950,0,13.06,18.87666667,5.68
7/10/1950,10.13333333,12.23333333,17.77666667,6.243333333
7/11/1950,21.3,8.026666667,10.61,3.376666667
7/12/1950,4.466666667,7.453333333,12.38666667,2.396666667
7/13/1950,0.966666667,8.263333333,12.52666667,3.403333333
7/14/1950,1.066666667,7.4,11.87666667,1.353333333
7/15/1950,2.133333333,8.043333333,12.86333333,3.423333333
7/16/1950,0,8.6,13.64,2.45
7/17/1950,0,9.006666667,14.53333333,3.156666667
7/18/1950,0,9.6,13.35333333,5.84
7/19/1950,0,8.626666667,12.05,4.863333333
7/20/1950,0,9.823333333,15.75,3.696666667
7/21/1950,0,10.26666667,14.86333333,6.206666667
7/22/1950,0,9.643333333,15.57333333,4.55
7/23/1950,0,9.59,13.91,5.03
7/24/1950,0,9.063333333,15.00333333,4.59
7/25/1950,0.8,10.23333333,15.17666667,5.573333333
7/26/1950,15.66666667,8.486666667,12.72666667,5.68
7/27/1950,1.733333333,5.51,10.44333333,2.5
7/28/1950,0,6.28,11.75666667,-0.393333333
7/29/1950,0,8.64,15.19333333,2.456666667
7/30/1950,0,10.82,16.05666667,5.333333333
7/31/1950,0,14.21,19.56333333,7.39
8/1/1950,11.9,9.05,14.31,7.99
8/2/1950,17.03333333,4.66,9.836666667,2.973333333
8/3/1950,0.566666667,5.13,10.38666667,0.566666667
8/4/1950,0,10.30333333,18.06333333,1.27
8/5/1950,0,15.92666667,22.64333333,7.643333333
8/6/1950,0,15.18666667,19.49666667,7.843333333
8/7/1950,0.4,13.64666667,16.30666667,10.14666667
8/8/1950,0,12.79333333,17.6,7.996666667
8/9/1950,0,12.98333333,17.08333333,8.183333333
8/10/1950,0,12.03,16.44,8.456666667
8/11/1950,0.666666667,14.40333333,19.02333333,9.113333333
8/12/1950,12.43333333,10.44,13.01666667,7.3
8/13/1950,33.6,6.506666667,9.65,5.16
8/14/1950,0.866666667,7.773333333,12.28666667,3.573333333
8/15/1950,0,9.7,13.81666667,5.23
8/16/1950,0,9.836666667,14.55333333,5.29
8/17/1950,6.933333333,9.153333333,14.03666667,5.163333333
8/18/1950,0,9.803333333,16.30333333,4.093333333
8/19/1950,12.76666667,7.32,12.11,4.773333333
8/20/1950,0,5.68,11.52333333,1.923333333
8/21/1950,0,9.39,15.83333333,3.553333333
8/22/1950,8.733333333,8.616666667,12.27,5.406666667
8/23/1950,5.033333333,5.6,9.566666667,2.49
8/24/1950,2.033333333,5.916666667,9.626666667,3.116666667
8/25/1950,2.9,4.083333333,9.19,1.9
8/26/1950,1.166666667,1.763333333,8.533333333,-3.066666667
8/27/1950,0,2.26,9.516666667,-1.993333333
8/28/1950,0,4.18,9.97,-0.48
8/29/1950,0,4.58,11.15333333,-2.08
8/30/1950,0,8.023333333,16.91666667,-1.206666667
8/31/1950,0,10.90333333,17.34333333,2.98
9/1/1950,0,11.92,16.77333333,4.836666667
9/2/1950,0,12.44666667,17.71333333,5.876666667
9/3/1950,0,12.41333333,18.37333333,5
9/4/1950,0,13.62,19.41333333,6.843333333
9/5/1950,0,12.93,18.71666667,7.15
9/6/1950,0,13.72333333,16.35666667,9.303333333
9/7/1950,0,11.62666667,14.29,8.293333333
9/8/1950,8.8,7.21,11.40666667,4.14
9/9/1950,0,9.106666667,15.10666667,3.226666667
9/10/1950,0,9.156666667,13.01666667,6.256666667
9/11/1950,5.733333333,4.36,8.486666667,3.27
9/12/1950,0,3.193333333,11.74,-3.496666667
9/13/1950,0,6.333333333,14.93333333,-0.23
9/14/1950,0,5.803333333,10.91333333,2.26
9/15/1950,0,4.826666667,10.7,2.14
9/16/1950,0,4.74,12.28333333,-1.033333333
9/17/1950,0,8.133333333,13.50666667,3.403333333
9/18/1950,0,6.673333333,13.94333333,1.436666667
9/19/1950,0,7.353333333,13.56,1.59
9/20/1950,0,8.603333333,14.60333333,2.793333333
9/21/1950,0,8.846666667,16.33,2.93
9/22/1950,0,9.75,16.79,3.42
9/23/1950,0,9.59,15.66666667,3.95
9/24/1950,0,10.75666667,17.71333333,4.263333333
9/25/1950,10.26666667,7.576666667,11.77666667,6.476666667
9/26/1950,0,4.5,10.1,0.89
9/27/1950,0,5.866666667,14.44333333,-0.84
9/28/1950,0,8.73,17.41333333,2.376666667
9/29/1950,0,7.883333333,14.43,2.61
9/30/1950,0,7.67,12.77333333,3.14
10/1/1950,0,5.773333333,14.79333333,0.093333333
10/2/1950,0,7.4,13.07333333,2.766666667
10/3/1950,6.6,4.55,7.303333333,2.636666667
10/4/1950,14.86666667,4.683333333,8.826666667,1.473333333
10/5/1950,10.36666667,1.673333333,3.89,-1.48E-16
10/6/1950,6.5,2.603333333,5.626666667,-1.203333333
10/7/1950,17.86666667,0.503333333,2.18,-1.613333333
10/8/1950,17.46666667,-0.906666667,1.506666667,-4.343333333
10/9/1950,27.76666667,-2.363333333,-1.4,-4.136666667
10/10/1950,0,-0.536666667,5.283333333,-4.406666667
10/11/1950,0,-0.71,3.613333333,-3.11
10/12/1950,0,-0.293333333,7.623333333,-5.29
10/13/1950,0,0.353333333,7.616666667,-3.91
10/14/1950,18.93333333,0.303333333,1.333333333,-2.673333333
10/15/1950,7.033333333,0.763333333,1.346666667,-2.893333333
10/16/1950,16.8,-0.826666667,0.496666667,-3.513333333
10/17/1950,16.86666667,-4.816666667,-1.73,-7.88
10/18/1950,0,-3.243333333,0.193333333,-7.556666667
10/19/1950,0,1.706666667,9.093333333,-5.143333333
10/20/1950,0,2.773333333,6.936666667,-1.583333333
10/21/1950,5.066666667,0.373333333,1.66,-1.696666667
10/22/1950,19.86666667,-0.7,0.616666667,-1.88
10/23/1950,9.733333333,-6.643333333,-3.896666667,-9.006666667
10/24/1950,7.966666667,-8.796666667,-7.563333333,-10.67666667
10/25/1950,0.266666667,-7.716666667,-5.016666667,-11.59
10/26/1950,0,-0.78,2.94,-7.143333333
10/27/1950,0,0.666666667,9.103333333,-3.276666667
10/28/1950,0,-0.99,4.45,-4.97
10/29/1950,0.366666667,-1.093333333,2.873333333,-3.873333333
10/30/1950,0.5,-2.44,2.456666667,-6.746666667
10/31/1950,0,-3.793333333,0.886666667,-7.356666667
11/1/1950,0,-4.97,-1.813333333,-6.883333333
11/2/1950,0,-2.453333333,0.633333333,-6.516666667
11/3/1950,4.4,-0.07,1.836666667,-4.206666667
11/4/1950,0,-0.72,2.236666667,-3.516666667
11/5/1950,0.066666667,2.323333333,5.383333333,-2.066666667
11/6/1950,0,2.22,7.303333333,-1.573333333
11/7/1950,0,4.31,12.00333333,-2.436666667
11/8/1950,9.333333333,2.563333333,4.21,1.623333333
11/9/1950,0,2.096666667,4.35,-0.766666667
11/10/1950,3.3,3.07,2.96,0.42
11/11/1950,13.76666667,-2.34,0.943333333,-5.233333333
11/12/1950,0,-3.243333333,3.18,-9.726666667
11/13/1950,0,0.18,9.273333333,-5.566666667
11/14/1950,0,3.903333333,12.66666667,-2.713333333
11/15/1950,0,6.673333333,14.15333333,-0.403333333
11/16/1950,0,6.626666667,10.72,1.753333333
11/17/1950,14.9,-1.793333333,3.763333333,-5.146666667
11/18/1950,0,-4.936666667,-3.22,-8.58
11/19/1950,11.56666667,-5.29,-3.486666667,-8.786666667
11/20/1950,6.933333333,-11.05,-9.78,-13.23666667
11/21/1950,0,-13.4,-9.103333333,-16.73
11/22/1950,0,-14.11666667,-9.183333333,-16.78
11/23/1950,0,-11.32666667,-7.333333333,-17.58333333
11/24/1950,0,-7.693333333,-2.333333333,-12.05
11/25/1950,0,-5.126666667,-0.546666667,-7.36
11/26/1950,0,-7.593333333,-2.943333333,-10.00666667
11/27/1950,0,-9.263333333,-3.933333333,-12.84333333
11/28/1950,0,-6.546666667,-4.116666667,-10.36
11/29/1950,9.266666667,-7.776666667,-4.006666667,-9.823333333
11/30/1950,0,-11.73333333,-2.39,-16.88333333
12/1/1950,0,-7.656666667,2.386666667,-10.8
12/2/1950,0,-9.496666667,-0.496666667,-10.36666667
12/3/1950,0,-7.983333333,-0.733333333,-10.78333333
12/4/1950,0,-6.303333333,-3.43,-11.13666667
12/5/1950,0,-6.503333333,0.156666667,-10.92
12/6/1950,0,-9.033333333,0.916666667,-12.78333333
12/7/1950,0,-8.093333333,3.506666667,-11.78666667
12/8/1950,0,-5.236666667,4,-8.93
12/9/1950,0,-3.52,3.326666667,-4.15
12/10/1950,0,-3.813333333,1.556666667,-6.543333333
12/11/1950,0,-3.573333333,3.473333333,-6.47
12/12/1950,0,-4.943333333,-1.27,-6.21
12/13/1950,0,-4.836666667,0.56,-8.593333333
12/14/1950,0,-8.053333333,0.063333333,-10.06
12/15/1950,0,-10.68666667,-1.87,-10.84333333
12/16/1950,0,-10.64,-1.593333333,-11.74
12/17/1950,0,-8.16,-0.05,-8.813333333
